customer_id,cell_id,window_start,window_end,rsrp_avg,sinr_avg,handover_failures,congestion_pct,packet_loss_pct
0002-ORFBO,CELL_112B,2024-12-01,2024-12-07,-88.5,14.7,0,53.4,0.4
0003-MKNFE,CELL_245B,2024-12-01,2024-12-07,-103.7,7.8,5,83.0,2.4
0004-TLHLJ,CELL_889D,2024-12-01,2024-12-07,-91.7,13.9,0,48.5,0.41
0011-IGKFF,CELL_411A,2024-12-01,2024-12-07,-97.3,16.2,1,38.8,0.28
0013-EXCHZ,CELL_134C,2024-12-01,2024-12-07,-94.1,7.5,5,75.7,2.97
0013-MHZWF,CELL_502B,2024-12-01,2024-12-07,-95.5,7.8,5,72.6,1.6
0013-SMEOE,CELL_411A,2024-12-01,2024-12-07,-91.8,16.9,0,36.9,0.22
0014-BMAQU,CELL_889D,2024-12-01,2024-12-07,-96.2,11.2,6,70.5,2.86
0015-UOCOJ,CELL_101A,2024-12-01,2024-12-07,-87.5,12.6,1,42.8,0.2
0016-QLJIS,CELL_112B,2024-12-01,2024-12-07,-91.4,15.1,1,53.3,0.57
0017-DINOC,CELL_411A,2024-12-01,2024-12-07,-89.3,16.8,1,39.8,0.39
0017-IUDMW,CELL_134C,2024-12-01,2024-12-07,-88.3,15.1,0,41.7,0.24
0018-NYROU,CELL_112B,2024-12-01,2024-12-07,-91.4,17.1,1,48.2,0.24
0019-EFAEP,CELL_112B,2024-12-01,2024-12-07,-92.5,14.0,0,59.6,0.49
0019-GFNTW,CELL_134C,2024-12-01,2024-12-07,-106.3,5.3,10,95.3,4.82
0020-INWCK,CELL_301C,2024-12-01,2024-12-07,-89.4,16.2,1,55.9,0.41
0020-JDNXP,CELL_134C,2024-12-01,2024-12-07,-91.4,14.6,0,50.1,0.43
0021-IKXGC,CELL_502B,2024-12-01,2024-12-07,-106.3,9.3,5,77.1,1.68
0022-TCJCI,CELL_101A,2024-12-01,2024-12-07,-87.1,16.6,1,37.1,0.23
0023-HGHWL,CELL_101A,2024-12-01,2024-12-07,-90.5,13.1,0,30.9,0.42
0023-UYUPN,CELL_234A,2024-12-01,2024-12-07,-99.6,4.0,4,72.1,2.41
0023-XUOPT,CELL_245B,2024-12-01,2024-12-07,-94.3,15.4,0,32.3,0.24
0027-KWYKW,CELL_301C,2024-12-01,2024-12-07,-88.5,17.3,1,43.7,0.21
0030-FNXPP,CELL_112B,2024-12-01,2024-12-07,-105.1,3.7,9,86.6,4.07
0031-PVLZI,CELL_134C,2024-12-01,2024-12-07,-90.8,15.9,0,42.8,0.51
0032-PGELS,CELL_301C,2024-12-01,2024-12-07,-98.0,15.7,0,50.8,0.23
0036-IHMOT,CELL_245B,2024-12-01,2024-12-07,-110.0,3.2,8,90.2,3.19
0040-HALCW,CELL_502B,2024-12-01,2024-12-07,-92.5,13.4,0,44.9,0.25
0042-JVWOJ,CELL_245B,2024-12-01,2024-12-07,-99.8,12.9,4,70.5,2.02
